aX,aY,aZ,gX,gY,gZ
0.588,0.039,-0.815,11.475,-41.748,-31.921
0.630,-0.083,-0.921,10.742,-42.114,-33.020
0.667,-0.109,-0.999,5.676,-45.166,-26.367
0.792,-0.105,-1.178,5.554,-50.293,-21.484
0.807,-0.116,-1.201,15.930,-74.463,-14.465
0.765,-0.101,-1.114,20.264,-86.670,-14.099
0.743,-0.079,-1.046,24.292,-104.065,-14.709
0.676,-0.061,-0.903,23.743,-107.666,-12.329
0.657,-0.044,-0.872,17.212,-109.680,-10.925
0.652,0.054,-0.912,14.404,-113.464,-12.817
0.688,0.075,-0.935,22.156,-126.221,-14.038
0.750,0.038,-0.868,31.128,-129.395,-9.705
0.760,0.015,-0.824,36.011,-132.446,-5.737
0.756,-0.028,-0.735,27.588,-137.634,-9.521
0.727,-0.012,-0.637,-1.526,-142.517,-26.001
0.772,0.038,-0.574,-9.521,-138.916,-32.043
0.816,0.022,-0.619,-2.197,-138.428,-28.687
0.789,0.030,-0.593,42.725,-147.156,-5.920
0.759,0.038,-0.538,57.922,-151.245,-0.977
0.725,0.047,-0.500,54.138,-161.804,-2.075
0.662,0.081,-0.422,45.166,-165.710,-5.615
0.649,0.066,-0.371,35.767,-167.053,-20.935
0.685,-0.028,-0.309,30.701,-168.030,-27.893
0.722,-0.085,-0.317,25.269,-179.626,-21.667
0.700,-0.027,-0.242,28.442,-187.378,-8.240
0.650,0.064,-0.169,50.598,-196.838,11.597
0.548,0.098,0.022,65.247,-196.899,9.583
0.533,0.054,0.070,77.209,-187.683,-10.986
0.515,-0.001,0.033,69.519,-189.148,-19.348
0.470,0.016,0.055,54.871,-202.454,-27.710
0.409,0.095,0.154,55.298,-205.872,-30.090
0.405,0.096,0.182,69.336,-210.876,-38.818
0.376,-0.026,0.254,77.820,-214.172,-45.532
0.346,-0.112,0.305,80.994,-217.468,-54.260
0.308,-0.168,0.370,67.383,-222.290,-70.496
0.228,-0.200,0.541,60.730,-221.741,-73.059
0.212,-0.204,0.605,62.622,-209.900,-66.528
0.208,-0.257,0.575,68.848,-204.773,-62.073
0.191,-0.280,0.611,67.078,-204.590,-61.401
0.171,-0.301,0.789,61.035,-201.416,-60.852

0.549,-0.689,1.624,-0.732,8.301,-1.770
0.521,-0.756,1.703,6.897,28.381,19.775
0.403,-0.821,1.643,8.972,42.114,31.250
0.338,-0.809,1.569,-2.441,61.768,47.913
0.212,-0.729,1.524,-12.756,66.406,54.077
0.157,-0.669,1.548,-28.870,78.003,65.247
0.061,-0.511,1.560,-33.630,87.463,69.763
-0.005,-0.445,1.572,-37.292,97.412,71.533
-0.083,-0.430,1.602,-43.030,115.356,65.430
-0.243,-0.506,1.756,-47.302,123.779,62.622
-0.297,-0.508,1.864,-52.368,153.687,65.125
-0.288,-0.416,1.863,-49.927,180.908,67.688
-0.260,-0.353,1.672,-55.115,237.671,66.895
-0.213,-0.246,1.194,-62.134,255.798,63.049
-0.189,-0.209,1.014,-67.017,275.330,54.260
-0.154,-0.154,0.830,-69.092,276.794,50.537
-0.132,-0.108,0.785,-69.763,276.917,43.518
-0.060,-0.039,0.628,-58.899,281.738,39.978
-0.014,-0.041,0.559,-35.339,295.105,36.499
0.019,-0.037,0.460,-34.546,301.331,34.302
0.015,-0.016,0.421,-45.898,316.101,25.452
0.051,0.021,0.253,-47.668,323.608,20.264
0.108,0.001,0.090,-42.786,326.965,17.090
0.152,-0.033,-0.081,-23.315,312.073,24.170
0.151,-0.001,-0.168,-17.456,298.706,30.273
0.099,0.034,-0.085,-26.123,285.645,30.273
0.040,0.120,-0.021,-36.865,291.992,23.437
0.061,0.140,-0.161,-36.377,314.087,10.559
0.107,0.151,-0.514,-29.175,318.726,7.385
0.131,0.150,-0.654,-21.851,310.547,5.737
0.140,0.187,-0.836,-22.644,302.429,5.981
0.142,0.198,-0.895,-21.545,295.898,2.380
0.206,0.098,-1.005,-22.095,300.171,1.038
0.213,0.015,-1.058,-27.771,308.777,4.028
0.183,-0.052,-1.150,-60.242,334.412,17.212
0.158,-0.162,-1.629,-76.233,339.966,20.935
0.213,-0.204,-1.957,-96.985,287.903,33.936
0.255,-0.087,-2.125,-103.760,239.807,40.894
0.240,-0.019,-1.969,-89.355,166.260,36.804
0.165,0.006,-1.551,-72.144,148.071,30.823
0.155,0.027,-1.384,-64.697,130.310,10.376
0.259,0.083,-1.134,-71.777,119.812,-2.136
0.311,0.091,-1.050,-72.937,83.679,-14.465
0.329,0.089,-0.904,-67.444,67.993,-15.869
0.298,0.084,-0.828,-56.885,54.749,-15.015
0.203,-0.019,-0.724,-52.368,55.969,-15.320
0.178,-0.110,-0.762,-47.363,62.073,-16.907
0.200,-0.267,-1.018,-40.771,71.777,-23.499
0.226,-0.318,-1.156,-37.415,67.200,-23.499
0.252,-0.367,-1.270,-24.780,46.021,-14.771
0.293,-0.435,-1.458,-19.653,30.823,-5.676
0.279,-0.422,-1.499,-5.310,-8.850,20.203
0.189,-0.333,-1.356,1.404,-26.794,29.968
0.166,-0.274,-1.244,8.362,-45.410,36.804
0.213,-0.172,-1.092,11.108,-50.293,35.400
0.254,-0.152,-1.052,20.874,-63.232,32.288
0.281,-0.147,-1.013,25.269,-70.557,31.616
0.276,-0.128,-1.027,32.654,-79.285,27.893
0.265,-0.097,-1.110,38.208,-80.200,23.804
0.260,-0.094,-1.169,45.227,-78.552,13.977
0.318,-0.140,-1.311,45.776,-80.933,8.179
0.364,-0.180,-1.345,43.274,-99.915,0.977
0.442,-0.262,-1.266,44.189,-110.901,0.732
0.442,-0.286,-1.162,47.363,-119.202,2.258
