aX,aY,aZ,gX,gY,gZ
-0.228,-0.097,0.994,-0.916,-0.977,0.122
-0.227,-0.100,0.987,-2.930,-0.427,-0.977
-0.220,-0.098,0.968,-2.380,-0.427,-1.221

1.620,0.529,1.155,104.004,24.963,13.550
2.137,0.492,1.206,231.079,50.171,11.353
3.522,0.598,0.654,291.382,66.345,16.785
4.000,1.041,-0.260,243.164,44.861,-0.549
4.000,1.941,-1.468,131.592,-15.930,-51.636
3.889,1.881,-1.230,16.479,-91.492,-117.798
2.329,1.717,-0.436,-158.569,-177.673,-153.259
0.464,1.776,-0.597,-303.589,-168.884,-113.098
-4.000,1.152,1.418,-620.178,-221.374,-68.115
-4.000,0.404,3.329,-383.728,-276.062,-90.576
-4.000,-0.304,4.000,252.930,-216.614,-83.984
-3.808,-0.970,3.633,403.259,-118.042,-59.265
-3.237,-0.861,2.230,435.242,35.339,-6.104
-0.989,-0.412,-0.739,332.764,58.044,2.930
-0.663,-0.489,-1.082,38.513,10.315,-21.545
-1.618,-1.280,0.424,-68.176,-11.292,-31.616
-1.893,-1.340,1.130,-136.963,19.836,7.080
-0.940,-0.563,0.892,-121.582,53.040,28.809
-0.205,-0.050,0.248,-75.073,56.641,36.194
-0.090,0.061,0.458,-54.810,22.339,19.348
-0.229,0.035,0.890,-24.414,0.427,-0.427
-0.123,0.117,1.032,-21.484,10.742,-2.136
0.025,0.173,0.931,-13.794,24.292,-0.244
0.275,0.291,0.591,-8.972,22.400,-2.441
0.252,0.248,0.563,-8.179,14.771,-8.301
0.130,0.134,0.678,-13.367,1.160,-17.090
-0.021,0.043,0.816,-14.343,2.319,-15.503
-0.047,0.018,0.804,-7.324,0.244,-10.681
-0.074,-0.017,0.820,0.488,-4.211,-8.545
-0.097,-0.055,0.882,14.526,-11.292,-7.568
-0.043,-0.002,0.824,14.465,-11.902,-7.751
-0.081,-0.019,0.858,0.671,-20.020,-14.893
-0.241,-0.041,1.140,-2.747,-22.461,-16.174
-0.232,0.029,1.203,-2.380,-14.282,-13.184
-0.185,0.089,1.152,-0.244,-11.475,-12.390
