"Frösakull","Halmstads kommun","2699","402"
"Ekängen","Linköpings kommun","2698","177"
"Åseda","Uppvidinge kommun","2698","302"
"Ödeshög","Ödeshögs kommun","2693","264"
"Jämjö","Karlskrona kommun","2675","317"
"Nordmaling","Nordmalings kommun","2656","298"
"Alunda","Östhammars kommun","2642","298"
"Strömma","Värmdö kommun","2622","707"
"Vårsta","Botkyrka kommun","2601","150"
"Bälinge","Uppsala kommun","2590","189"
"Frövi","Lindesbergs kommun","2559","252"
"Bureå","Skellefteå kommun","2546","382"
"Röbäck","Umeå kommun","2545","200"
"Charlottenberg","Eda kommun","2523","285"
"Hörnefors","Umeå kommun","2517","237"
"Gånghester","Borås kommun","2511","284"
"Fjärås kyrkby","Kungsbacka kommun","2509","206"
"Sveg","Härjedalens kommun","2509","326"
"Vindeln","Vindelns kommun","2502","272"
"Stockvik","Sundsvalls kommun","2493","141"
"Alfta","Ovanåkers kommun","2466","382"
"Fritsla","Marks kommun","2434","319"
"Rottne","Växjö kommun","2434","198"
"Vikingstad","Linköpings kommun","2423","174"
"Hyllinge","Åstorps kommun","2421","169"
"Söråker","Timrå kommun","2414","532"
"Fjugesta","Lekebergs kommun","2404","229"
"Förslöv","Båstads kommun","2390","283"
"Ingared","Alingsås kommun","2380","330"
"Kolsva","Köpings kommun","2378","223"
"Henån","Orusts kommun","2375","490"
"Österbybruk","Östhammars kommun","2360","272"
"Strömsnäsbruk","Markaryds kommun","2354","332"
"Veddige","Varbergs kommun","2346","200"
"Blomstermåla","Mönsterås kommun","2322","378"
"Rimforsa","Kinda kommun","2314","278"
"Bergsviken","Piteå kommun","2312","214"
"Kopparmora","Värmdö kommun","2302","737"
"Fågelvikshöjden","Värmdö kommun","2287","579"
"Klågerup","Svedala kommun","2277","117"
"Kåge","Skellefteå kommun","2275","272"
"Skinnskatteberg","Skinnskattebergs kommun","2258","270"
"Storvik","Sandvikens kommun","2255","267"
"Glumslöv","Landskrona kommun","2253","131"
"Örbyhus","Tierps kommun","2247","202"
"Delsbo","Hudiksvalls kommun","2236","317"
"Kvicksund","Västerås kommun","2209","462"
"Ljungbyhed","Klippans kommun","2192","357"
"Pershagen","Södertälje kommun","2190","106"
"Grängesberg","Ludvika kommun","2188","249"
"Obbola","Umeå kommun","2186","230"
"Malmköping","Flens kommun","2180","142"
"Djurås","Gagnefs kommun","2177","390"
"Sjuntorp","Trollhättans kommun","2158","280"
"Ekeby-Almby","Örebro kommun","2148","202"
"Storuman","Storumans kommun","2135","259"
"Jonstorp","Höganäs kommun","2130","194"
"Bua","Varbergs kommun","2124","239"
"Insjön","Leksands kommun","2120","369"
"Jälla","Uppsala kommun","2114","122"
"Bjursås","Falu kommun","2106","560"
"Arbrå","Bollnäs kommun","2100","295"
"Forserum","Nässjö kommun","2097","194"
"Tillberga","Västerås kommun","2081","157"
"Storfors","Storfors kommun","2066","291"
"Kolbäck","Hallstahammars kommun","2055","209"
"Bodafors","Nässjö kommun","2045","242"
"Getinge","Halmstads kommun","2045","239"
"Torsås","Torsås kommun","2042","313"
"Tanumshede","Tanums kommun","2040","210"
"Råneå","Luleå kommun","2034","242"
"Mockfjärd","Gagnefs kommun","2031","388"
"Fränsta","Ånge kommun","2028","609"
"Svanesund","Orusts kommun","2027","364"
"Norsjö","Norsjö kommun","2024","252"
"Svängsta","Karlshamns kommun","2022","244"
"Stångby","Lunds kommun","2016","105"
"Pajala","Pajala kommun","2013","309"
"Robertsfors","Robertsfors kommun","2010","214"
"Hunnebostrand","Sotenäs kommun","2006","352"
"Malå","Malå kommun","1998","251"
"Ljusne","Söderhamns kommun","1991","326"
"Kvidinge","Åstorps kommun","1972","184"
"Högsby","Högsby kommun","1971","262"
"Brastad","Lysekils kommun","1964","347"
"Skattkärr","Karlstads kommun","1961","169"
"Anderslöv","Trelleborgs kommun","1960","138"
"Mörarp","Helsingborgs kommun","1946","127"
"Lönsboda","Osby kommun","1943","267"
"Nossebro","Essunga kommun","1941","187"
"Grebbestad","Tanums kommun","1923","502"
"Färgelanda","Färgelanda kommun","1922","249"
"Storå","Lindesbergs kommun","1915","462"
"Stigtomta","Nyköpings kommun","1914","176"
"Dalarö","Haninge kommun","1912","604"
"Älvdalen","Älvdalens kommun","1912","335"
"Sösdala","Hässleholms kommun","1911","220"
